group_number,product_tp,credit_seg,fico_grp,SA_SE,used_in_3mth,okr_type,quarter,okr,modified_okr,remark,cohort_type,n_M00,a_lmt_M00,current_pct_bad,reduced_ratio
113,CC,1]NTB,02]FICO,02]SE,Y,a_lmt_61pM03,q3,0.1575915859894558,0.1575915859894558,nan,CP,2411.0,424630000.0,0.18125662341332455,0.8694390473670873
114,CC,1]NTB,02]FICO,02]SE,Y,a_lmt_61pM03,q4,0.14316012207100745,0.14316012207100745,nan,CP,2411.0,424630000.0,0.18125662341332455,0.7898200869854859
115,CC,1]NTB,02]FICO,02]SE,Y,a_lmt_fpd,q2,0.22113334335150797,0.22113334335150797,nan,CP,2411.0,424630000.0,0.23317240892070745,0.9483683956222562
116,CC,1]NTB,02]FICO,02]SE,Y,a_lmt_fpd,q3,0.20279910676229665,0.20279910676229665,nan,CP,2411.0,424630000.0,0.23317240892070745,0.8697388670512062
117,CC,1]NTB,02]FICO,02]SE,Y,a_lmt_fpd,q4,0.18409070207942796,0.18409070207942796,nan,CP,2411.0,424630000.0,0.23317240892070745,0.7895046542236042
118,CC,1]NTB,02]FICO,02]SE,N,a_lmt_91pM04,q2,0.0,0.0,filled_by_consolidated_okr,CP,1496.0,233606000.0,0.0,0.9494021789684782
119,CC,1]NTB,02]FICO,02]SE,N,a_lmt_91pM04,q3,0.0,0.0,filled_by_consolidated_okr,CP,1496.0,233606000.0,0.0,0.8694525217921854
120,CC,1]NTB,02]FICO,02]SE,N,a_lmt_91pM04,q4,0.0,0.0,filled_by_consolidated_okr,CP,1496.0,233606000.0,0.0,0.7895028646158924
121,CC,1]NTB,02]FICO,02]SE,N,a_lmt_61pM03,q2,0.0,0.0,filled_by_consolidated_okr,CP,1496.0,233606000.0,0.0,0.9490580077486886
122,CC,1]NTB,02]FICO,02]SE,N,a_lmt_61pM03,q3,0.0,0.0,filled_by_consolidated_okr,CP,1496.0,233606000.0,0.0,0.8694390473670873
123,CC,1]NTB,02]FICO,02]SE,N,a_lmt_61pM03,q4,0.0,0.0,filled_by_consolidated_okr,CP,1496.0,233606000.0,0.0,0.7898200869854859
124,CC,1]NTB,02]FICO,02]SE,N,a_lmt_fpd,q2,0.0,0.0,filled_by_consolidated_okr,CP,1496.0,233606000.0,0.0,0.9483683956222562
125,CC,1]NTB,02]FICO,02]SE,N,a_lmt_fpd,q3,0.0,0.0,filled_by_consolidated_okr,CP,1496.0,233606000.0,0.0,0.8697388670512062
126,CC,1]NTB,02]FICO,02]SE,N,a_lmt_fpd,q4,0.0,0.0,filled_by_consolidated_okr,CP,1496.0,233606000.0,0.0,0.7895046542236042
127,CC,1]NTB,02]FICO,02]SE,ALL,a_lmt_91pM04,q2,0.1080617903768517,0.1080617903768517,nan,CP,3907.0,658236000.0,0.11382087883373136,0.9494021789684782
128,CC,1]NTB,02]FICO,02]SE,ALL,a_lmt_91pM04,q3,0.09896185013459051,0.09896185013459051,nan,CP,3907.0,658236000.0,0.11382087883373136,0.8694525217921854
129,CC,1]NTB,02]FICO,02]SE,ALL,a_lmt_91pM04,q4,0.0898619098923293,0.0898619098923293,nan,CP,3907.0,658236000.0,0.11382087883373136,0.7895028646158924
130,CC,1]NTB,02]FICO,02]SE,ALL,a_lmt_61pM03,q2,0.11097258078013557,0.11097258078013557,nan,CP,3907.0,658236000.0,0.11692918649238267,0.9490580077486886
131,CC,1]NTB,02]FICO,02]SE,ALL,a_lmt_61pM03,q3,0.10166280051334568,0.10166280051334568,nan,CP,3907.0,658236000.0,0.11692918649238267,0.8694390473670873
132,CC,1]NTB,02]FICO,02]SE,ALL,a_lmt_61pM03,q4,0.09235302024655578,0.09235302024655578,nan,CP,3907.0,658236000.0,0.11692918649238267,0.7898200869854859
